장비ID,장비명/국사명,사업장,순서,key,업무명,운용팀,장비명/국사명,장비ID,국사,본부,자산현행화(세부항목),MOSS(BS)발행,자산점검 완료(MOSS 미발행),
211.199.105.237,철거대상#성월리_228-3_홍경빌라_나동#-E5616R,충청남도 천안시 성환읍 성월리 228-3,1,1충청남도 천안시 성환읍 성월리 228-3,L2 자산철거(현장확인 대상),전주,철거대상#성월리_228-3_홍경빌라_나동#-E5616R,211.199.105.237,봉동국사,호남,,,,충청남도 천안시 성환읍 성월리 228-3
220.123.10.87,철거대상#BAT_도림리340-2(페문)#-2공장_F307J140,충청남도 천안시 입장면 도림리 340-2,1,1충청남도 천안시 입장면 도림리 340-2,L2 자산철거(현장확인 대상),목포,철거대상#BAT_도림리340-2(페문)#-2공장_F307J140,220.123.10.87,목포국사,호남,,,,충청남도 천안시 입장면 도림리 340-2
175.203.114.150,#쉴모텔2#-E5616R,충청남도 공주시 신관동 594-3,1,1충청남도 공주시 신관동 594-3,L2 자산철거(현장확인 대상),제주,#쉴모텔2#-E5616R,175.203.114.150,신제주국사,호남,,,,충청남도 공주시 신관동 594-3
211.106.146.48,철거대상#한아름A_104동_지하주차장벽SK함#-E5616R,충청남도 천안시 입장면 하장리 4-1,1,1충청남도 천안시 입장면 하장리 4-1,L2 자산철거(현장확인 대상),제주,철거대상#한아름A_104동_지하주차장벽SK함#-E5616R,211.106.146.48,신제주국사,호남,,,,충청남도 천안시 입장면 하장리 4-1
218.158.54.132,철거대상#파레스장모텔#-E5624R,충청남도 천안시 동남구 신부동 466-9,1,1충청남도 천안시 동남구 신부동 466-9,L2 자산철거(현장확인 대상),순천,철거대상#파레스장모텔#-E5624R,218.158.54.132,북순천국사,호남,,,,충청남도 천안시 동남구 신부동 466-9
121.184.205.194,철거대상#모전BBS 중계용L2_F306J200#-E5024,충청남도 천안시 성거읍 모전리 61-12,1,1충청남도 천안시 성거읍 모전리 61-12,L2 자산철거(현장확인 대상),전주,철거대상#모전BBS 중계용L2_F306J200#-E5024,121.184.205.194,북전주국사,호남,,,,충청남도 천안시 성거읍 모전리 61-12
112.166.91.205,#문화동_81-1_몽마르뜨_F023#-E5624R,충청남도 천안시 동남구 문화동 81-1,1,1충청남도 천안시 동남구 문화동 81-1,L2 자산철거(현장확인 대상),북광주,#문화동_81-1_몽마르뜨_F023#-E5624R,112.166.91.205,북광주국사,호남,,,,충청남도 천안시 동남구 문화동 81-1
183.107.145.29,현장확인#(전기작업)신부동_468#-7_웨스턴모텔_1,충청남도 천안시 동남구 신부동 468-7,1,1충청남도 천안시 동남구 신부동 468-7,L2 자산철거(현장확인 대상),북광주,현장확인#(전기작업)신부동_468#-7_웨스턴모텔_1,183.107.145.29,북광주국사,호남,,,,충청남도 천안시 동남구 신부동 468-7
183.107.145.40,현장확인필요#(전기작업)신부동_468#-7_웨스턴모텔_2,충청남도 천안시 동남구 신부동 468-7,2,2충청남도 천안시 동남구 신부동 468-7,L2 자산철거(현장확인 대상),북광주,현장확인필요#(전기작업)신부동_468#-7_웨스턴모텔_2,183.107.145.40,본촌국사,호남,,,,충청남도 천안시 동남구 신부동 468-7
121.184.168.151,OFF#현장확인필요_(미납)정명오피스텔#1-E5608R,충청남도 천안시 서북구 두정동 1540-0,1,1충청남도 천안시 서북구 두정동 1540-0,L2 자산철거(현장확인 대상),목포,OFF#현장확인필요_(미납)정명오피스텔#1-E5608R,121.184.168.151,목포국사,호남,,,,충청남도 천안시 서북구 두정동 1540-0 정명오피스텔
222.116.254.45,철거대상#OFF(미사용)_송면리287 NT#1011-V2716GC,충청북도 괴산군 청천면 송면리 287-4,1,1충청북도 괴산군 청천면 송면리 287-4,L2 자산철거(현장확인 대상),익산,철거대상#OFF(미사용)_송면리287 NT#1011-V2716GC,222.116.254.45,부송국사,호남,,,,충청북도 괴산군 청천면 송면리 287-4
175.204.62.149,철거검토#(휴폐업)김태희모텔2번#-E5624R,충청남도 천안시 목천읍 운전리 578-0,1,1충청남도 천안시 목천읍 운전리 578-0,L2 자산철거(현장확인 대상),전주,철거검토#(휴폐업)김태희모텔2번#-E5624R,175.204.62.149,무주국사,호남,,,,충청남도 천안시 목천읍 운전리 578-0
175.204.62.153,철거검토#(휴폐업)김태희모텔1#-E5608R,충청남도 천안시 목천읍 운전리 578-0,2,2충청남도 천안시 목천읍 운전리 578-0,L2 자산철거(현장확인 대상),북광주,철거검토#(휴폐업)김태희모텔1#-E5608R,175.204.62.153,북광주국사,호남,,,,충청남도 천안시 목천읍 운전리 578-0
59.31.242.213,NT#힐링팬션(후영멀티룸SLAVE1#1+5-E5624R,충청북도 괴산군 청천면 후영리 108-0,1,1충청북도 괴산군 청천면 후영리 108-0,L2 자산철거(현장확인 대상),정읍,NT#힐링팬션(후영멀티룸SLAVE1#1+5-E5624R,59.31.242.213,부안국사,호남,,,,충청북도 괴산군 청천면 후영리 108-0
121.155.222.85,철거대상#폐업_스토리(프라다)모텔2동#-V2716GC,충청북도 괴산군 괴산읍 능촌리 92-0,1,1충청북도 괴산군 괴산읍 능촌리 92-0,L2 자산철거(현장확인 대상),익산,철거대상#폐업_스토리(프라다)모텔2동#-V2716GC,121.155.222.85,부송국사,호남,,,,충청북도 괴산군 괴산읍 능촌리 92-0 프라다모텔 2동 1층관리실
211.225.182.186,철거대상#육군학생군사학교후보생식당_1층#-E5608R,충청북도 괴산군 괴산읍 대덕리 555-0,1,1충청북도 괴산군 괴산읍 대덕리 555-0,L2 자산철거(현장확인 대상),제주,철거대상#육군학생군사학교후보생식당_1층#-E5608R,211.225.182.186,성산포국사,호남,,,,충청북도 괴산군 괴산읍 대덕리 555-0
222.116.255.66,철거대상#701_길선_준코본관#1011-E5624R,충청북도 괴산군 소수면 길선리 341-6,1,1충청북도 괴산군 소수면 길선리 341-6,L2 자산철거(현장확인 대상),제주,철거대상#701_길선_준코본관#1011-E5624R,222.116.255.66,성산포국사,호남,,,,충청북도 괴산군 소수면 길선리 341-6 JC푸드시스템
121.153.122.229,철거대상#(OFF휴일)1한국기계산업전산실업체#1-E5608R,충청남도 천안시 병천면 도원리 50-1,1,1충청남도 천안시 병천면 도원리 50-1,L2 자산철거(현장확인 대상),제주,철거대상#(OFF휴일)1한국기계산업전산실업체#1-E5608R,121.153.122.229,서귀포국사,호남,,,,충청남도 천안시 병천면 도원리 50-1
175.204.25.119,철거대상#거성빌딩_FJ22J130#-E5016H,충청남도 천안시 서북구 백석동 322-0,1,1충청남도 천안시 서북구 백석동 322-0,L2 자산철거(현장확인 대상),제주,철거대상#거성빌딩_FJ22J130#-E5016H,175.204.25.119,서귀포국사,호남,,,,충청남도 천안시 서북구 백석동 322-0
